id,comment,rating,review_date,sentiment,es_confidence
52,by far one of the best training i ve ever have and the best of the bests in madrid every day is a new way of challenging yourself by also having fun! coaches are always there to support and help you achieve every personal objective if you want to enjoy doing exercise this is the place to be! el mejor de los mejores en todo madrid! vas a superar tus límites en cada clase siempre con acompañamiento del coach y diviertiendote al mismo tiempo instalaciones en perfecto estado y con todo tipo de herramientas para poder hacer todos los ejercicios al máximo nivel!,5,Hace 2 años,positive,0.6007286310195923
340,hands on instructor who explain and teach the concepts of every move also a good motivator place is good size clean and good location,5,Hace 5 meses,positive,0.9485502243041992
341,great training place with wonderful trainers and staff the trainers are kind helpful and adapt the exercises for your fitness level and help you progress the installations are new and well taken care of recommend…,5,Hace 5 meses,positive,0.0
342,i recently joined distrito 280 and i am so happy with my decision the trainers are all so friendly and welcoming to beginners like me! they are genuine people that want to help you achieve your goals since i am not fluent in spanish the trainers always try their best to explain the exercises to me in english if i have any doubts would highly recommend this gym to everyone whether you are a beginner or more experienced,5,Hace 2 años,positive,0.0
343,really enjoyed my first training session with carol yesterday an expert with technique very welcoming to beginners yet a challenging workout extremely welcoming and friendly staff overall no excessive egos among the other people training there either all very friendly will definitely be back hopefully for many more sessions when i am in madrid 5 stars a must visit for beginner or advanced thanks carol and team see you again soon,5,Hace 3 años,positive,0.0
344,nice and cosy box with different classes kudos to carol she the sweetest she will make you feel confortable and part of the team very rapidly,4,Hace un año,positive,0.9506947994232178
345,distrito 280 is the best gym in madrid! the amazing coaches provide a comfortable and enjoyable experience 10 10 would definitely recommend,5,Hace 2 años,positive,0.9448938369750977
346,felt really welcome here my first time the exercises are in different stations and time intervals so it doesn t get boring and keeps your heart rate up!,5,Hace 3 años,positive,0.0
347,really love this place they have a great variation of exercises the coaches are skilled and they have the knowledge in a this particular field the most important they really care on the needs of the client,5,Hace 3 años,positive,0.0
348,distrito 280 has been the best gym i have ever been to the coaches and the exercises are amazing! 10 10,5,Hace 2 años,positive,0.9866803884506226
349,almost a month and a half now training here and quite pleased with the workouts and staff!,5,Hace un año,positive,0.0
351,very nice modern box and the staff is friendly and pleasant! highly recommended,5,Hace un año,positive,0.0
352,super gym with super staff!! very clean facilities definitely recommend,5,Hace 3 años,positive,0.0
353,top,5,Hace un año,positive,0.0
360,i ve been going to distrito for 3 years and i love it! there are so many classes to go to from 7am to 9pm so i can go whenever is best for me the coaches are great and the yoga teacher is amazing too i couldn t imagine going to any other gym at this point!,5,hace un día,positive,0.0
