id,text,y_true,y_pred,p_neg,p_pos,abs_margin,loss,near_threshold,low_coverage,has_contrast
9903,muy masificadas las clases,0,1,0.0,1.0,0.37,34.538776394910684,False,True,False
11695,muy bien me gusta,0,1,0.0,1.0,0.37,34.538776394910684,False,True,False
915,muy bueno,0,1,0.0002770083102493,0.9997229916897508,0.3697229916897507,8.191463051326954,False,True,False
6909,el gimnasio no está mal pero llevan dos meses dando largas con la falta de aire acondicionado hace un calor que parece bikram gym no sé por qué no lo publicitan así escribes quejas a la página web ya que te dicen que lo hagas a través de ese medio y se pasan la pelota de unos a otros lamentable lo del aire acondicionado por lo demás bien actualizo la reseña a 17 10 2022 han puesto casi todas las luces de la sala de musculación azul si azul alegan que es por ahorro energético lo cual me parecería bien si no hubieran pintado las paredes hace unos meses de negro lo cual no refleja nada la luz y de ahorro energético poco,1,0,0.9968434343434344,0.0031565656565656,0.6268434343434344,5.758270659940289,False,False,True
12299,no esta mal mala experiencia personal con otros clientes que molestaban,1,0,0.9955101010101012,0.0044898989898989,0.6255101010101012,5.405925074162788,False,False,False
7451,con el cambio de clases de les mills y la salida de silvia el gimnasio perdió muchísimo las nuevas clases son muy regu ojalá vuelvan pronto,0,1,0.0048449454307795,0.9951550545692204,0.3651550545692205,5.329819296699843,False,False,False
12702,entrenadores de sala geniales instalaciones aceptables servicios administrativos que podrían mejorar,0,1,0.0092113451345564,0.9907886548654437,0.3607886548654436,4.687319387853197,False,False,False
12388,personal maleducado,0,1,0.0101234926760858,0.9898765073239142,0.3598765073239142,4.592896548569694,False,True,False
11826,es buen gimnasio pero no me parce correcto que cuando una profesora monitora funciona y llena clases que le quiten clases belén es buena en su clase de zumba y a los llenos de sus clases me remito porque se le quitan clases??? es una de las mejores en zumba esperemos que le den más horas por el bien de todos nosotros que nos gustan sus clases de zumba gracias,0,1,0.0104156592901444,0.9895843407098556,0.3595843407098556,4.564444904290508,False,False,True
7492,no todos usan toallas el aire acondicionado funciona a medias como las duchas o están calientes o realmente no funcionan,1,0,0.983048644338118,0.0169513556618819,0.613048644338118,4.077407468301882,False,False,False
6626,2022 hace poco hicieron reforma y le sentó espectacular el gimnasio no tiene ventanas en prácticamente el 90 lo que lo hace un poco triste pero con la reforma supieron aprovecharlo con paredes negras y luces led a nivel de instalaciones y clases es muy completo sin embargo lo que ya va pidiendo reforma es el vestuario en invierno se pasa frío en las duchas que están casi abiertas porque la puerta es enana algunas duchas la puerta no se mantiene cerrada y se te abre encima mientras te estás duchando otras tienen el suelo abombado que se encharca y resulta poco higiénico las taquillas algunas están rotas pero no lo indica con ningún cartel te puede pasar que guardes tus cosas en un taquilla pongas el candado y no te des cuenta de que está mal cerrada hasta que vuelvas a intentar abrirla al final de la sesión por otro lado en junio de 2022 seguían sin abrir la sauna por covid cuando ya nadie llevaba mascarilla y habían recuperado la huella como método de entrada se ve que para unas cosas hay covid para otras no además habréis visto ya en el resto de comentarios la gincana que hay que hacer si te quieres despuntar que no se entiende en absoluto finalmente decir que a pesar de todo lo dicho no le pongo menos de 4 estrellas ya que he querido hacer una crítica lo más constructiva posible para que puedan mejorar todos estos puntos porque en conjunto está bastante bien y los trabajadores son todos estupendos edito 2023 han arreglado las puertas y el suelo de las duchas también han reformado la entrada y les ha quedado chula,1,0,0.978451634027888,0.0215483659721119,0.608451634027888,3.8374552902672425,False,False,True
9990,instalaciones ambiente sistema,0,1,0.0355493619707067,0.9644506380292932,0.3344506380292933,3.336833070272095,False,True,False
7402,soy usuaria del gimnasio de embajadores en rasgos generales satisfecha con instalaciones y personal quiero hacer una crítica a un perfil de usuario y una queja al responsable del gimnasio se trata del usuario que no quiere compartir màquinas material del usuario que usa una màquina y al acabar una de las series q està haciendo permanece sentado en la màquina sin ceder el uso a otro usuario o se pone a chatear sentado ocupando la màquina sin dar la posibilidad a que otra persona en sus descansos pueda usar la màquina discos barras no solo se niegan a compartir el material es que se cabrean si les pides compartir ya se lo puedes pedir recitando poesía que se mosquean las excusas son variadas es que estoy haciendo bi series es que descanso 3 minutos mejor acabo y luego tú q es un rollo andar cambiando pesos y luego està el que no sabes cuàndo ni porqué ya has asumido junto a todo el gimnasio que mientras él està esa màquina no se pide ni se usa la gente necesita descansar sobre la propia màquina o descansar mirando la barra o la cuerda claro tú es que eres pro necesitas descansar tres minutos yo en esos tres minutos puedo hasta casi hacer dos series y descansar te importa? bueno es que mejor acabo y ya te pones tú madurar en el gimnasio tener una actitud madura es compartir es respeto al otro y a su tiempo madurar en el gimnasio es saber que si alguien te està mirando o pasa por tu lado y se queda ahí no es que esté enamorado de ti es que quiere usar la màquina material también si necesitas un gimnasio para ti solo móntatelo en tu casa en el gimnasio se comparte el material sé maduro sé empàtico con el prójimo y comparte el material y la queja al responsable del gimnasio pues queda también reflejada a la gente hay que tratarla acorde a la madurez que presenta en otros gimnasios p e dreamfit hay unos carteles enormes en los que se leen las frases las màquinas se comparten si necesitas contestar un mensaje levàntate de la màquina y libérala ya lo de descargar las màquinas lo dejo para otro día porque tiene tela que una persona acabe de usar la prensa y te la deje cargada con 200 kilos estas son las personas que van de estupend s de esas que tendràn asistencia en casa y piensan que el mundo es parte de su servicio si no tienes madurez por favor no vayas al gimnasio pero por si te sirve de algo en el gimnasio se comparte se descargan y se colocan pesos y preferentemente al gimnasio se va cagado meado y chateado gracias,1,0,0.958269770208976,0.0417302297910239,0.588269770208976,3.176529477779318,False,False,True
10231,los vestuarios son penosos creo que le vendría bien una reformita y mas con el precio que se paga,0,1,0.0474716894584444,0.9525283105415556,0.3225283105415556,3.0476217570281126,False,False,False
73,me gusta entrenar acá pero aunque no sea culpa de los monitores muchas personas se quedan en las máquinas viendo el móvil y no nos dejan aprovechar el tiempo para poder entrenar la gente debería de ser más consciente de estos casos para no incomodar a los demás,1,0,0.9459647135709364,0.0540352864290637,0.5759647135709364,2.9181179934348447,False,False,True
12356,falta atención personal,0,1,0.0659165879827567,0.9340834120172432,0.3040834120172433,2.7193651546908315,False,True,False
8250,gimnasio decente no estaba demasiado lleno para la hora a la que fui media tarde no tuve que esperar mucho buena zona de vestuarios y en general un gimnasio de tamaño decente quizás algunas máquinas estén un poco juntas pero bueno no es caro ¿qué me puedo esperar? la recepcionista fue excelente fui sobre las 15 00 del 16 de julio pero no pude entrar soy nuevo y pensé que había comprado la suscripción para usar cualquier vivagym pero no fue así así que la recepcionista me ayudó a mejorar mi suscripción tardó solo dos o tres minutos y ya estaba dentro después del entrenamiento intenté suscribirme a yanga water pero la aplicación no me lo permitió la recepcionista intentó ayudarme de nuevo dedicando al menos cinco minutos a intentar solucionar el problema en la aplicación de mi teléfono pero parece que hay un problema con la aplicación también lo intenté en la página web más tarde pero no lo he conseguido pierdo a un empleado por esto ya fui socio de viva en barcelona y aunque ese gimnasio estaba un poco lleno para mi gusto el personal siempre me pareció agradable así que viva sigan así teniendo un personal tan motivado pero solucionen el problema con la suscripción al agua yanga intentaré volver a suscribirme mañana,1,0,0.930332346526173,0.0696676534738269,0.560332346526173,2.6640191510896742,False,False,True
12990,llego a hacer esta opinión hace un par de meses y les ponía 2 estrellas como máximo en primer lugar ha sido un puntazo por parte del dreamfit el hecho de abrir a las 6 de la mañana para las personas que trabajamos muy temprano nos viene muy bien ir a entrenar a esa hora ya que no está masificado y se nota que la gente viene a entrenar no a ponerse a hablar u ocupar máquinas durante un tiempo indeterminado como ocurre durante otras franjas horarias no obstante deberían controlar la cantidad de gente que se va apuntando cada mes porque el gimnasio está masificado en horas que debería estar medianamente normal cuando iba antes entre semana a la 1 de la tarde había días en los que era muy complicado coger un simple banco para hacer algún ejercicio a ver si va a ser que en este distrito la tasa de paro es tan alta que la gente se puede permitir ir al gimnasio a las 2 de la tarde y estar ahí tan tranquilamente 2 horas sin hacer nada más allá de hablar y ocupar espacio… mención especial a los trabajadores de la limpieza por cierto,1,0,0.928260133025388,0.0717398669746118,0.558260133025388,2.6347086611505337,False,False,True
12401,el gimnasio no está mal pero últimamente la música que ponen es solamente reguetón y realmente no es una música agradable para el entrenamiento al menos no para todo el mundo,1,0,0.9238378760500748,0.0761621239499251,0.5538378760500748,2.574891000889924,False,False,True
11772,la verdad que estaba buscando un gimnasio que tuviera toda la equipación pero sin estar llena de gente cuando fui a preguntar vi que había muchísima gente y eran las 20 30 a 21 00 un jueves sin embargo le di una oportunidad para probarlo y sinceramente parece mucha gente pero cuando estas en las maquinas al final no parece que haya tanta gente a veces tienes que esperar pero se libra bastante rápido ya que hay varias maquinas tienen taquillas que se abren y se cierran con una pulsera clases que puedes atender cuando quieras una sauna y vestuario lo malo yo pondría aquí sería la tasa de subscripción creo que a mi me dijeron 40€,1,0,0.9236370728372232,0.0763629271627766,0.5536370728372232,2.57225794714039,False,False,True
10089,en gimasnio en si es una auténtica pasada muy espacioso máquinas brutales que te cuentan las repeticiones está muy bien equipado y el personal es bastante amable la única queja que tengo es relacionada con en el spa fui con mi pareja y pensábamos que el precio de la entrada al gimasnio venía incluido con la entrada al spa cosa que no era así fallo nuestro por no mirarlo bien pero la encargada del spa una vez que estábamos ya dentro nos pregunta que si teníamos cita y nosotros le dijimos que no que habiamos comprado una entrada y ya esta y ella nos dice que bueno que no pasa nada que disfrutemos del spa y que lo va consultar con recepción para la próxima vez bueno pues cuando ya nos vamos a ir entran la encargada y otra chica que iba con ella al vestuario repito las dos a decirme que nos habíamos equivocado y que teníamos que pagar muy nefasto y rastreropor su parte entiendo que si llegamos a saber eso y aún así nos quedamos en el spa nos hagas pagar pero no fue así deja mucho que desear que gente así lleve el spa,1,0,0.8989689295386389,0.1010310704613611,0.5289689295386389,2.2923271811184627,False,False,True
9393,voy a modificar mi reseña en el que le puse 5 estrellas a este gym porque era genial pero actualmente llevan ya mas de 3 semanas sin las televisiones de 4 solo tienen 1 y no se si es porque están en reparación lo vendieron o que hicieron,1,0,0.8933009133443068,0.1066990866556931,0.5233009133443068,2.2377426806389655,False,False,True
4161,siempre esta petado pero los monitores son majos,0,1,0.1073200967546865,0.8926799032453134,0.2626799032453135,2.2319393518719473,False,False,True
13439,0 empatía con los usuarios,0,1,0.1115471586446185,0.8884528413553815,0.2584528413553815,2.193307830013672,False,True,False
6600,fui al gym durante 2 años y todo fue fenomenal cuando me di de baja porque me mudaba a otra localidad no tuve ningún problema me dieron de baja en 5 minutos volvería al gym si abrieran uno en alcorcón,1,0,0.8759179844997419,0.1240820155002579,0.5059179844997419,2.0868125166911535,False,False,False
1053,deshonesto,0,1,0.1385209235209235,0.8614790764790763,0.2314790764790765,1.9767338924117845,False,True,False
8692,es uno de los gimnasios más grandes y mejor equipados de madrid pero constantemente hay algo roto si no es la puerta es la zona de aguas sino las escaleras sino el baño etc el personal por lo general es genial aunque hay un par que dejan un poco que desear llevo 5 años viniendo y no termina de asentarse la instalación siempre algo en obras hay horas en las que hay tantísimo aforo que no se puede ni estar,1,0,0.8403538731135111,0.1596461268864888,0.47035387311351107,1.8347956201438822,False,False,True
11372,buenas instalaciones y nuevas pero mucha gente para la cantidad de máquinas que hay 3 press de banca sin inclinar o 3 jalón al pecho entre otras cosas para todo el mundo me parece demasiado poco son máquinas muy solicitadas para que haya tan pocas para la cantidad de gente que va,1,0,0.8357218271924156,0.1642781728075845,0.4657218271924156,1.806194112383291,False,False,True
8977,deberían controlar el aparcamiento en las plazas destinadas a los cargadores y recordar a los usuarios que son plazas de recarga y no de aparcamiento para vehículos eléctricos y menos para los no eléctricos,1,0,0.8344191154591675,0.1655808845408326,0.4644191154591675,1.7982954752104192,False,False,False
3480,estoy contenta de que por fin esté abierto el gym las instalaciones y en general me parece todo muy bien lo único es que para lo grande que es la recepción es pequeña y solo está una persona siempre con lo cual no hay nadie en las salas por lo mismo la gente deja las pesas por el suelos las máquinas cargadas parece que necesitan a alguien que les diga lo que se puede o no hacer y es un verdadero fastidio,1,0,0.8265117315641997,0.1734882684358004,0.45651173156419966,1.7516452989660853,False,False,False
4473,hola quiero mi dinero de vuelta y ceder mi reserva a otro gracias …,0,1,0.1744074895294407,0.8255925104705593,0.19559251047055928,1.7463608238798032,False,False,False
12651,creo que el fallo lo tienen en la musica que no motiva a entrenar soy un chico muy sociable y destesto desconectarme con audifono pero la musica no te inspira a correr a no entrenar debe haber musicon de gym,1,0,0.8198069403714564,0.1801930596285435,0.4498069403714564,1.7137264493745672,False,False,True
12772,hola solo tengo una pregunta una vez que me inscriba puedo pagar en efectivo porque por targeta no puedo y no no tengo nadie que me haga el favor de pagarme con targeta gracias,1,0,0.8127111852493856,0.1872888147506144,0.4427111852493856,1.6751033896782836,False,False,False
2999,si sigo apuntada es por las clases benditos profesores que sacan adelante un gimnasio abarrotado y a 30 grados,0,1,0.1941370099997073,0.8058629900002927,0.1758629900002927,1.6391911320749901,False,False,False
7494,está bien demasiada gente en meses pico si no fuese por carlos sería una jungla,1,0,0.8009258479137997,0.1990741520862002,0.43092584791379973,1.6140779001158132,False,False,False
13712,a reventar en cualquier horario,0,1,0.2043506663805641,0.7956493336194359,0.1656493336194359,1.5879178080005878,False,True,False
4504,las máquinas están muy cerca una de otras el aforo es muy alto,0,1,0.2128039010797631,0.7871960989202368,0.1571960989202369,1.5473841895409355,False,False,False
5688,un ambiente súper malo y tóxico lleno de gym bros maleducados y que lo único que hacen es tirarse fotitos enfrente del espejo no lo recomendaría a nadie hay gimnasios con un ambiente mucho mejor,0,1,0.2129049111807732,0.7870950888192267,0.1570950888192268,1.5469096393319823,False,False,False
8962,los quitaron la tarifa familiar si eres mayor de 21 o algo así… me han hecho editar la reseña es de hace un par de años,0,1,0.2165716599694732,0.7834283400305267,0.1534283400305268,1.529833793375076,False,False,False
2885,en este gym en lo único que están pendientes es en apuntar personas nuevas todos los días y cobra que en la comodidad que ofrecen cuando te apuntas,0,1,0.2210741561961074,0.7789258438038926,0.1489258438038926,1.5092570853494818,False,False,False
10634,la piscina está increible el personal en general muy bien pero hay alguna recepcionista que dan ganas de cambiar de gimnasio por lo borde que es no se puede tratar con desprecio a los clientes,1,0,0.776999546477106,0.2230004535228939,0.406999546477106,1.500581473789136,False,False,True
9416,las instalaciones y el personal son fantásticos y cuentan con todo tipo de maquinas para poder tener un entrenamiento óptimo la localización del gimnasio es buena si tienes coche pero si tienes que ir en transporte público puede ser un poco más complicado a nivel negativo es el orden y organización de gimnasio llevaba tiempo sin ir a este gimnasio y he notado que ahora hay más desorden las personas que entrenan ahí en la zona de pesos no devuelven lo que usan a su sitio haciendo la experiencia bastante mala el otro día me pase un buen rato buscando unas mancuernas de un peso específico que estaban abandonadas en la otra punta del gimnasio,1,0,0.7760066022067692,0.2239933977932308,0.4060066022067692,1.4961387016988306,False,False,True
8390,esta todo super apretado muy oscuro y agobiante y todo demasiado descuidado ni la gente del propio gimnasio se preocupa por mantenerlo ordenado por el contrario los vestuarios están muy bien y limpios,0,1,0.2306929510155316,0.7693070489844682,0.13930704898446838,1.4666676690350282,False,False,True
10764,muy caro,0,1,0.232395095792909,0.7676049042070909,0.13760490420709098,1.459316356667191,False,True,False
8615,buenas instalaciones sólo que no tienen la máquina predicador,1,0,0.7413210702341138,0.2586789297658863,0.37132107023411376,1.352167639702058,False,False,False
7524,el personal es muy simpático y atento y las instalaciones muy modernas y limpias no obstante es una pena lo mucho que llega a llenarse especialmente la zona de musculación hay poquísimas pesas y máquinas disponibles teniendo que esperar bastante para hacer uso de una determinada máquina muchas veces rompiendo tu rutina de ese día creo que debería controlarse el aforo de alguna forma…,0,1,0.2625844763048702,0.7374155236951297,0.1074155236951298,1.3371824342268928,False,False,True
8860,cada día está más lleno y cada día es más difícil entrar en una clase colectiva o hacer máquinas eso sí el gimnasio en sí esta muy bien máquinas bastante nuevas y bastantes clases colectivas pero repito muy lleno el parking a partir de la 19h imposible aparcar los coches mal aparcados por todos los lados,0,1,0.2675583530028849,0.7324416469971151,0.10244164699711511,1.3184175943687375,False,False,True
13199,cristina estela gallego llevo ya unos cuantos años y los que quedan el personal mola mucho y además es súper profesional por favor no cambiéis!!!!,1,0,0.7240723929854365,0.2759276070145635,0.35407239298543647,1.2876167410954185,False,False,False
676,el chico recepcionista es muy borde,0,1,0.2858705894690322,0.7141294105309678,0.08412941053096779,1.2522160549382435,True,False,False
1467,decepcionante la atenciòn que recibi al preguntar por información la persona que me atendió fue desagradablel,0,1,0.2898202180960801,0.7101797819039198,0.08017978190391989,1.2384944858421105,True,False,False
